,Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
22,Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,1.0,1.25,1.25,1.0625,21.0,21,1.515625
23,Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,0.6,0.6,0.6,0.51,23.0,23,1.5
24,Tabbatha,Averill,Female,5,1977-12-17 00:00:00,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,0.65,0.8125,0.8125,0.8125,23.0,23,1.5
25,Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,1.04,1.04,1.04,0.884,25.0,25,1.484375
26,Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,0.58,0.58,0.58,0.49299999999999994,26.0,26,1.46875
27,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,0.68,0.8500000000000001,0.8500000000000001,0.7225,26.0,26,1.46875
28,Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,0.57,0.7124999999999999,0.8906249999999999,0.8906249999999999,26.0,26,1.46875
29,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,0.53,0.53,0.6625000000000001,0.6625000000000001,26.0,26,1.46875
30,Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,0.72,0.72,0.8999999999999999,0.8999999999999999,30.0,30,1.4609375
31,Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,0.43,0.5375,0.5375,0.5375,30.0,30,1.4609375
32,Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,0.67,0.8375,0.8375,0.711875,32.0,32,1.453125
33,Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,0.81,1.0125000000000002,1.2656250000000002,1.0757812500000001,32.0,32,1.453125
34,Mikel,McNess,Male,71,1981-09-22,Nurse,,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,1.05,1.05,1.3125,1.1156249999999999,32.0,32,1.453125
35,Maisie,Maddox,Female,27,1977-05-09 00:00:00,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,0.76,0.76,0.95,0.95,32.0,32,1.453125
36,Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,0.61,0.7625,0.7625,0.7625,36.0,36,1.44765625
37,Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,0.99,0.99,1.2375,1.2375,36.0,36,1.44765625
38,Mitchell,MacCague,Male,58,1979-04-11,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,0.52,0.52,0.52,0.442,38.0,38,1.4375
39,Garik,Whitwell,Male,44,1955-06-13,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,0.75,0.9375,0.9375,0.796875,38.0,38,1.4375
40,Antonin,Britt,Male,64,1993-08-28,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.92,1.1500000000000001,1.4375000000000002,1.4375000000000002,40.0,40,1.434375
41,Vinny,Incogna,Female,73,1953-02-13,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,0.98,0.98,0.98,0.98,40.0,40,1.434375
42,Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,1.03,1.03,1.2875,1.094375,42.0,42,1.421875
43,Neile,Argent,Female,79,1946-10-25,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,0.47,0.47,0.5874999999999999,0.4993749999999999,42.0,42,1.421875
44,Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.87,0.87,0.87,0.87,44.0,44,1.42109375
45,Brooke,Arling,Male,76,1961-12-05,,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,0.91,0.91,0.91,0.91,44.0,44,1.42109375
46,Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,0.94,1.1749999999999998,1.4687499999999998,1.4687499999999998,46.0,46,1.4078125
47,Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,0.85,1.0625,1.0625,1.0625,46.0,46,1.4078125
48,Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.67,0.8375,1.046875,1.046875,46.0,46,1.4078125
49,Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,0.7,0.875,0.875,0.74375,46.0,46,1.4078125
50,Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,0.96,0.96,1.2,1.02,50.0,50,1.40625
51,Heinrick,Shilstone,Male,60,1978-02-11 00:00:00,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,1.1,1.1,1.1,1.1,50.0,50,1.40625
52,Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,0.91,1.1375,1.1375,1.1375,52.0,52,1.39453125
53,Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,0.59,0.7374999999999999,0.7374999999999999,0.7374999999999999,52.0,52,1.39453125
54,Odessa,Mc Andrew,Female,97,1981-12-01,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.54,0.54,0.675,0.57375,54.0,54,1.38125
55,Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,0.44,0.44,0.55,0.4675,54.0,54,1.38125
56,Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,0.78,0.78,0.9750000000000001,0.8287500000000001,54.0,54,1.38125
57,Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,0.62,0.62,0.62,0.527,57.0,57,1.375
58,Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,0.98,0.98,1.225,1.04125,57.0,57,1.375
59,Whittaker,,Male,64,1966-07-29,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,0.76,0.95,0.95,0.8075,57.0,57,1.375
60,Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,0.65,0.65,0.65,0.5525,57.0,57,1.375
61,Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,0.68,0.8500000000000001,0.8500000000000001,0.8500000000000001,57.0,57,1.375
62,Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,0.97,1.2125,1.515625,1.28828125,62.0,62,1.36796875
63,Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,1.01,1.01,1.2625,1.2625,62.0,62,1.36796875
64,Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,0.68,0.8500000000000001,0.8500000000000001,0.8500000000000001,62.0,62,1.36796875
65,Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,0.78,0.9750000000000001,0.9750000000000001,0.9750000000000001,65.0,65,1.3625
66,Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,0.97,0.97,0.97,0.97,65.0,65,1.3625
67,Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,0.74,0.925,1.15625,1.15625,65.0,65,1.3625
68,Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,68.0,68,1.3546875
69,Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,0.4,0.5,0.5,0.5,68.0,68,1.3546875
70,Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,0.51,0.6375,0.796875,0.796875,68.0,68,1.3546875
71,Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,1.05,1.3125,1.3125,1.3125,68.0,68,1.3546875
72,Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,0.53,0.53,0.6625000000000001,0.5631250000000001,72.0,72,1.35
73,Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,0.75,0.75,0.9375,0.9375,72.0,72,1.35
74,Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,0.85,0.85,1.0625,1.0625,72.0,72,1.35
75,Mabelle,Wellbelove,Female,76,1958-04-21,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,0.96,1.2,1.5,1.5,72.0,72,1.35
76,Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,0.6,0.75,0.9375,0.9375,72.0,72,1.35
77,Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,0.59,0.59,0.7374999999999999,0.626875,77.0,77,1.34140625
78,Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,0.61,0.7625,0.7625,0.7625,78.0,78,1.3375
79,Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,0.99,1.2375,1.546875,1.3148437499999999,78.0,78,1.3375
80,Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,0.4,0.4,0.4,0.4,78.0,78,1.3375
81,Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,0.52,0.52,0.65,0.5525,78.0,78,1.3375
82,Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,0.42,0.42,0.42,0.357,78.0,78,1.3375
83,Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.57,0.57,0.7124999999999999,0.6056249999999999,78.0,78,1.3375
84,Gardie,Crellim,Male,58,1975-09-12 00:00:00,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,0.65,0.65,0.8125,0.8125,84.0,84,1.328125
85,Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,0.78,0.9750000000000001,1.21875,1.21875,85.0,85,1.325
86,Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,0.66,0.66,0.8250000000000001,0.8250000000000001,85.0,85,1.325
87,Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,1.0,1.0,1.25,1.25,85.0,85,1.325
88,Kahaleel,,Male,5,1942-11-01,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,1.05,1.05,1.3125,1.3125,88.0,88,1.31484375
89,Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,1.01,1.2625,1.578125,1.34140625,89.0,89,1.3125
90,Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,0.45,0.45,0.45,0.45,89.0,89,1.3125
91,Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,0.7,0.7,0.875,0.875,89.0,89,1.3125
92,Patricia,Everix,Female,34,1978-02-19 00:00:00,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,0.71,0.71,0.71,0.6034999999999999,89.0,89,1.3125
93,Andromache,Bonafacino,Female,84,1977-09-01,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,1.08,1.08,1.35,1.1475,89.0,89,1.3125
94,Levy,Abramamov,Male,94,1952-09-21,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,0.77,0.9625,1.203125,1.203125,89.0,89,1.3125
95,Nobe,McAughtry,Male,25,1978-12-14 00:00:00,,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,1.1,1.1,1.1,0.935,89.0,89,1.3125
96,Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.99,1.2375,1.546875,1.546875,96.0,96,1.3
97,Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,0.75,0.9375,0.9375,0.796875,96.0,96,1.3
98,Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,0.97,0.97,0.97,0.8245,96.0,96,1.3
99,Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,0.89,0.89,1.1125,1.1125,99.0,99,1.296875
100,Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,0.43,0.5375,0.5375,0.5375,99.0,99,1.296875
101,Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,0.96,0.96,1.2,1.02,99.0,99,1.296875
102,Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,0.85,0.85,0.85,0.7224999999999999,102.0,102,1.28828125
103,Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,0.41,0.41,0.41,0.3485,102.0,102,1.28828125
104,Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,0.93,0.93,0.93,0.93,104.0,104,1.2875
105,Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,1.01,1.2625,1.2625,1.2625,104.0,104,1.2875
106,Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,0.94,1.1749999999999998,1.1749999999999998,0.9987499999999998,104.0,104,1.2875
107,Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,0.57,0.57,0.7124999999999999,0.6056249999999999,104.0,104,1.2875
108,Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,0.46,0.46,0.46,0.46,104.0,104,1.2875
109,Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,0.65,0.65,0.8125,0.6906249999999999,104.0,104,1.2875
110,Michal,Bryan,Female,1,1969-11-09,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,0.69,0.8624999999999999,0.8624999999999999,0.7331249999999999,104.0,104,1.2875
111,Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,0.94,1.1749999999999998,1.4687499999999998,1.2484374999999999,111.0,111,1.28125
112,Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,0.86,1.075,1.075,0.91375,111.0,111,1.28125
113,David,Napoleon,Male,72,1961-11-05,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,0.54,0.54,0.675,0.675,111.0,111,1.28125
114,Meriel,Tapp,Female,0,1995-08-13,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,0.58,0.58,0.58,0.49299999999999994,114.0,114,1.275
115,Dolley,Starmont,Female,53,1977-11-08 00:00:00,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,0.44,0.44,0.44,0.44,114.0,114,1.275
116,Frederik,Milan,Male,45,1997-11-13,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.56,0.56,0.56,0.47600000000000003,114.0,114,1.275
117,Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,0.69,0.8624999999999999,1.078125,1.078125,114.0,114,1.275
118,Jerrine,Cosbey,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,0.92,1.1500000000000001,1.4375000000000002,1.4375000000000002,114.0,114,1.275
119,Roddy,Rubinshtein,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,0.62,0.775,0.775,0.65875,114.0,114,1.275
120,Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,0.59,0.7374999999999999,0.7374999999999999,0.626875,120.0,120,1.2625
121,Ashby,Bispham,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,0.93,0.93,0.93,0.93,120.0,120,1.2625
122,Alexander,Broadbent,Male,57,1997-05-28,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,0.42,0.42,0.525,0.44625,120.0,120,1.2625
123,Teddy,Lagadu,Female,86,1969-07-20,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,0.96,0.96,1.2,1.2,120.0,120,1.2625
124,Peria,Rantoull,Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,0.43,0.43,0.43,0.3655,120.0,120,1.2625
125,Ludvig,Andren,Male,44,1941-02-22,Media Manager III,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,0.81,1.0125000000000002,1.0125000000000002,1.0125000000000002,125.0,125,1.26171875
126,Elsworth,Abbitt,Male,71,1956-02-08,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,0.53,0.6625000000000001,0.6625000000000001,0.5631250000000001,125.0,125,1.26171875
127,Rebeca,Aggas,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,0.73,0.73,0.73,0.73,127.0,127,1.25
