customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
24,Kim,Skpsey,Female,55,12/3/1977,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15
25,Geoff,Assaf,Male,72,12/2/1976,Accounting Assistant III,Financial Services,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,Yes,21
26,Trixi,Ginnelly,Female,12,6/10/1978,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16
27,Garvin,Klees,Male,37,9/25/1978,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12
28,Fee,Zellmer,Male,5,9/30/1973,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21
29,Mona,Sancraft,Female,62,6/22/1968,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19
30,Darrick,Helleckas,Male,18,10/18/1961,,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6
31,Star,Praton,Female,3,11/24/1962,Staff Accountant III,Telecommunications,High Net Worth,N,testâ testâ«,Yes,14
32,Marion,Vanichkin,Female,17,4/20/1995,Legal Assistant,Manufacturing,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,4
33,Ernst,Hacon,Male,44,6/25/1957,Product Engineer,,Affluent Customer,N,<script>alert('hi')</script>,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20
35,Margaretha,Strettle,Female,40,9/28/1963,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16
36,Lurette,Stonnell,Female,33,11/9/1977,VP Quality Control,,Affluent Customer,N,"<>?:""{}|_+",No,22
37,Laurie,Dwerryhouse,Female,46,12/22/1985,Social Worker,Health,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,16
38,Cordi,Merman,Female,37,10/29/1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20
39,Hunfredo,Smalley,Male,5,4/16/1979,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22
40,Tomasine,Jerche,Female,91,10/27/1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,14
41,Basilius,Coupe,Male,64,4/14/1976,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16
42,Chiquita,Durnall,Female,24,3/28/1977,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18
43,Indira,Belt,Female,38,3/1/1983,Director of Sales,Retail,Mass Customer,N,â°â´âµ,No,5
44,Neron,Verick,Male,63,10/18/1981,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17
45,Trace,Woodhead,Male,64,9/23/1975,Senior Financial Analyst,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,8
46,Kaila,Allin,Female,98,2/26/1972,,,Affluent Customer,N,â°â´âµâââ,Yes,15
47,Matthew,Jeaycock,Male,51,10/22/1992,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2
48,Rebbecca,Casone,Female,46,8/15/1975,Biostatistician II,,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8
49,Nolly,Ownsworth,Male,63,1/26/1994,VP Quality Control,,Affluent Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,1
50,Whitby,Schapero,Male,38,10/1/1980,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16
51,Fidelio,Dilke,Male,68,12/5/1959,Computer Systems Analyst II,Retail,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18
52,Curran,Bentson,Male,57,6/22/1988,,Financial Services,Mass Customer,N,2/1/2018 0:00,Yes,13
53,Agnella,Gocke,Female,22,4/18/1954,Software Test Engineer II,Financial Services,Mass Customer,N,1,No,16
54,Loralyn,Wonfor,Femal,2,7/24/1966,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18
55,Linc,Jillions,Male,48,9/24/1956,Paralegal,Financial Services,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,Yes,7
56,Reese,Ensor,Male,44,7/4/1996,VP Sales,Property,Mass Customer,N,ã,Yes,4
57,Abba,Masedon,M,87,6/13/1988,Chief Design Engineer,,Mass Customer,N,100,Yes,13
58,Dalenna,Pinnock,Female,26,7/4/1967,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17
59,Niki,Heathcote,Male,60,2/8/2000,Physical Therapy Assistant,,High Net Worth,N,-1,No,3
60,Nadiya,Champerlen,Female,18,2/4/1970,,Manufacturing,Mass Customer,N,á,No,10
61,Kacey,Rowbottom,Female,47,11/29/1959,Help Desk Operator,Property,High Net Worth,N,-1,No,13
62,Sorcha,Roggers,Female,38,7/6/1979,,IT,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,22
63,Ebony,Zini,Female,58,7/3/1965,Senior Quality Engineer,Retail,Mass Customer,N,00ËÆ$-,Yes,16
64,Gerek,Yve,Male,73,3/25/1978,Legal Assistant,IT,High Net Worth,N,ï¼ï¼ï¼,No,4
65,Yale,Tanser,Male,21,4/1/1976,Information Systems Manager,Financial Services,Affluent Customer,N,Jan-00,Yes,15
66,Anselm,Gawne,Male,46,3/11/2002,Account Executive,Argiculture,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,1
67,Vernon,,Male,67,6/14/1960,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18
68,Dahlia,Eddoes,Female,37,4/21/1974,Information Systems Manager,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9
69,Heidi,Milner,Female,16,6/22/1969,Web Developer II,,Mass Customer,N,0/0,No,6
70,Foster,Vannoort,Male,78,2/27/1993,Paralegal,Financial Services,Affluent Customer,N,ð,No,8
71,Hoyt,Glavias,Male,30,1/27/1985,Research Associate,Argiculture,Affluent Customer,N,ï½ï½¨(Â´âï½â©,Yes,12
72,Sammy,Cheese,Male,93,2/13/1972,Administrative Officer,Manufacturing,Affluent Customer,N,1,Yes,16
73,Minette,Worters,Female,16,5/27/1960,Teacher,,Affluent Customer,N,âââ,Yes,5
74,Pansy,Kiddie,Female,94,6/19/1969,,,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,6
75,Dollie,Sealy,Female,28,7/15/1978,VP Product Management,Property,Mass Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,19
76,Rea,Hasser,Female,20,1/23/1978,Statistician II,Retail,High Net Worth,N,â¢,Yes,18
77,Shermie,Andrin,Male,79,9/12/1989,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7
78,Arch,Van der Kruis,Male,37,3/12/1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-100,No,8
79,Tybi,Silliman,Female,76,10/2/1968,Account Executive,Manufacturing,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18
80,Pablo,Small,Male,11,4/24/1978,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13
81,Bee,Blazewicz,Female,58,9/4/1986,,Health,High Net Worth,N,â¢,No,13
82,Gleda,Cokely,Female,93,6/28/1965,Software Test Engineer III,Property,High Net Worth,N,ç°ä¸­ããã«ããã¦ä¸ãã,No,19
83,Kerr,Simmell,Male,97,2/26/1967,Internal Auditor,IT,Mass Customer,N,ðµ ð ð ð,Yes,18
84,Rich,Mathiasen,Male,78,2/7/1958,Accountant III,,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,14
85,Kane,Tixall,Male,1,5/21/1958,Analyst Programmer,,Mass Customer,N,NIL,No,8
86,Job,Sleney,Male,75,3/4/1989,Occupational Therapist,Health,High Net Worth,N,1,Yes,7
87,Fields,Langdon,Male,78,4/23/1974,Editor,Financial Services,Mass Customer,N,"__ï¾(,_,*)",No,8
88,Malynda,Tumber,Female,41,2/3/1966,Help Desk Operator,Property,High Net Worth,N,Ù¡Ù¢Ù£,Yes,7
89,Benedicto,Hoxey,Male,74,1/22/1967,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14
90,Cary,Garron,Male,76,11/12/1984,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11
91,Dylan,Meaker,Male,69,2/24/1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,17
92,Jodee,Judkins,Female,98,9/11/1980,Recruiting Manager,Health,Mass Customer,N,âââ,No,12
93,Gordon,Gowar,Male,63,7/16/1976,Project Manager,Retail,Mass Customer,N,0/0,Yes,10
94,Wallache,Simchenko,Male,33,8/7/1974,Civil Engineer,Manufacturing,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,21
95,Nomi,Mallinder,Female,67,12/25/1960,Software Engineer III,Manufacturing,Affluent Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",Yes,8
96,Heath,Olford,Male,33,8/31/1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,åè£½æ¼¢èª,No,15
97,Arne,Corain,Male,16,7/27/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10
98,Allianora,Babalola,Female,19,3/17/1956,Safety Technician IV,Health,Mass Customer,N,,No,7
99,Reggie,Mulliner,Male,97,6/13/1998,VP Accounting,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,3
100,Tripp,Steed,Male,80,5/11/1968,General Manager,Financial Services,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,4
101,Goran,Kwietek,Male,83,12/29/1975,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11
102,Langsdon,Tranfield,Male,51,11/27/1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,No,16
103,Ethyl,Runham,Female,49,4/21/1997,Product Engineer,Financial Services,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4
104,Odille,Panketh,Female,40,6/6/1978,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9
105,Maribeth,Pristnor,Female,25,9/17/2001,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1
106,Glyn,,Male,54,7/3/1966,Software Test Engineer III,Health,High Net Worth,N,ãã¼ãã£ã¼ã¸è¡ããªãã,Yes,18
107,Pris,Stallebrass,Female,97,7/1/1990,Nurse Practicioner,Financial Services,Mass Customer,N,ï½ï½¨(Â´âï½â©,Yes,9
108,Kayle,Mingaud,Female,4,3/14/1994,,,High Net Worth,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,3
109,Cody,Blabey,Male,16,12/11/1978,Marketing Assistant,,Affluent Customer,N,100,Yes,4
110,Sascha,St. Quintin,Male,23,7/31/2000,,Financial Services,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,1
111,Cele,Evason,Female,65,8/29/1993,Analyst Programmer,,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,2
112,Shena,Parren,Female,88,8/12/1975,Marketing Manager,Retail,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12
113,Gage,Nickless,Male,67,5/6/1956,Staff Scientist,,Mass Customer,N,(ï½¡â â âï½¡),No,20
114,Sunny,Swindells,Female,10,10/23/1985,Teacher,Entertainment,Affluent Customer,N,-100,No,8
115,Alberik,Mereweather,Male,77,12/21/1981,Account Executive,Health,Mass Customer,N,,No,18
116,Scottie,Swiffen,Male,49,2/5/1999,Assistant Professor,Manufacturing,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,2
117,Nance,Suttling,Female,75,2/23/1982,Marketing Manager,Manufacturing,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,15
118,Prentice,Pearmain,Male,43,11/12/1959,Budget/Accounting Analyst IV,,High Net Worth,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,19
119,Willey,Chastanet,Male,9,12/4/1981,Associate Professor,,High Net Worth,N,,Yes,9
120,Sloan,Wagg,Male,80,9/2/1978,Legal Assistant,Financial Services,High Net Worth,N,â°â´âµ,Yes,4
121,Myles,Pauncefort,Male,82,10/2/1957,Graphic Designer,Manufacturing,Mass Customer,N,é¨è½æ ¼,No,15
122,Colver,Itter,Male,87,4/19/1979,Quality Control Specialist,Financial Services,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,12
123,Almeta,Kalinsky,Female,85,12/3/1988,Analyst Programmer,Financial Services,High Net Worth,N,1E+96,No,15
124,Kath,Cunney,Female,27,5/3/1995,Administrative Assistant II,Health,High Net Worth,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,5
125,Darrelle,Antoniewski,Female,94,3/17/1960,Computer Systems Analyst II,Property,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,No,16
126,Norman,Cliff,Male,53,10/15/1992,Administrative Officer,Health,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,3
127,Merrili,Whitear,Female,81,12/3/1974,Compensation Analyst,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,No,19
128,Isidro,Cypler,Male,73,7/17/1977,Systems Administrator III,Property,Mass Customer,N,á ,Yes,12
129,Weidar,Silkstone,Male,64,7/20/1985,Financial Advisor,Financial Services,High Net Worth,N,"__ï¾(,_,*)",Yes,19
130,Raddy,Delete,Male,32,7/18/1997,Chemical Engineer,Manufacturing,Mass Customer,N,-100,No,1
131,Jana,Renyard,Female,57,10/16/1964,Administrative Officer,Retail,High Net Worth,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",No,8
132,Celesta,Willavoys,Female,5,7/7/1963,Web Designer I,Manufacturing,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,9
133,Eldridge,Fiddeman,Male,12,6/13/1977,VP Accounting,Financial Services,Mass Customer,N,",./;'[]\-=",Yes,16
134,Merna,McCulloch,Female,34,8/1/1997,Legal Assistant,Telecommunications,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,5
135,Rosalia,Sigart,Female,18,1/18/1975,Internal Auditor,IT,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,3
136,Mel,Bennet,Male,46,5/26/1973,Senior Developer,Manufacturing,High Net Worth,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),Yes,7
137,Vaughn,Artin,Male,27,11/21/1987,Office Assistant II,Property,High Net Worth,N,1'; DROP TABLE users--,No,10
138,Onofredo,Franc,Male,5,4/28/1985,Recruiter,Financial Services,Affluent Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,13
139,Gar,,Male,1,7/28/1964,Operator,Telecommunications,Affluent Customer,N,-100,No,4
140,Morrie,Flaxon,Male,9,5/20/1994,Programmer Analyst III,Manufacturing,Mass Customer,N,Jan-00,No,2
141,Townsend,Trobe,Male,67,6/25/1954,Teacher,Financial Services,High Net Worth,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,10
142,Bentley,Fortesquieu,Male,57,8/7/1967,Quality Engineer,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,17
143,Kendall,Figg,Male,19,9/1/1957,Operator,Argiculture,Mass Customer,N,ðµ ð ð ð,Yes,11
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,
145,Filippo,Ferrara,Male,33,7/21/1997,Account Executive,Financial Services,Mass Customer,N,NIL,No,4
146,Ricoriki,Matlock,Male,34,4/8/1985,Quality Control Specialist,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,8
147,Rea,Pattrick,Female,32,12/6/1973,Analog Circuit Design manager,Health,Mass Customer,N,ð¾ ð ð ð ð ð ð ð,Yes,10
148,Jaquith,Maffey,Female,69,5/8/1981,Programmer Analyst III,,Mass Customer,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,5
149,Drucy,Kausche,Female,41,1/31/1995,Research Nurse,Health,Mass Customer,N,Jan-00,Yes,1
150,Bradly,Crosse,Male,6,8/23/1983,Cost Accountant,Financial Services,Affluent Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,17
151,Donnie,Brimson,Male,36,1/31/1965,Marketing Manager,Manufacturing,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,13
152,Stephana,Cardew,Female,5,3/3/1981,Compensation Analyst,Financial Services,Mass Customer,N,00ËÆ$-,No,16
153,Lorilyn,Walshe,Female,73,7/28/1977,Assistant Media Planner,Entertainment,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,12
154,Faydra,Dulieu,Female,90,2/13/1958,Junior Executive,,Mass Customer,N,,No,11
155,Orran,Bogges,Male,4,12/28/1985,Quality Engineer,Manufacturing,Mass Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",No,10
156,Shayla,Rimmington,Female,23,9/9/1979,Cost Accountant,Financial Services,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,Yes,11
157,Chad,Houtby,Male,97,11/23/1974,Financial Advisor,Financial Services,Affluent Customer,N,100,No,16
158,Hamlin,Odams,Male,99,9/3/1984,Internal Auditor,,Affluent Customer,N,100,No,5
159,Arin,Matskevich,Male,90,5/12/1987,Research Nurse,Health,Affluent Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,13
