first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value
Corinna,Suggey,Female,52,9/18/1966,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.47,0.47,0.47,0.47,44,44,1.42109375
Brooke,Arling,Male,76,12/5/1961,,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,1,1,1,1,44,44,1.42109375
Gipsy,Ewestace,Female,29,8/30/1956,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,0.51,0.6375,0.796875,0.796875,46,46,1.4078125
Sheena,Kybbye,Female,14,7/16/1956,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,1.01,1.2625,1.2625,1.2625,46,46,1.4078125
Jobina,Gobourn,Female,85,12/4/1994,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.45,0.5625,0.703125,0.703125,46,46,1.4078125
Gale,Disbrow,Female,59,5/14/1977,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,0.69,0.8625,0.8625,0.733125,46,46,1.4078125
Thaxter,Kingsbury,Male,12,5/3/1950,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,0.79,0.79,0.9875,0.839375,50,50,1.40625
Heinrick,Shilstone,Male,60,2/11/1978,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,0.89,0.89,0.89,0.89,50,50,1.40625
Taylor,Steuhlmeyer,Male,62,3/22/1999,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,0.98,1.225,1.225,1.225,52,52,1.39453125
Griswold,Kelsall,Male,55,12/19/1993,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,0.91,1.1375,1.1375,1.1375,52,52,1.39453125
Odessa,Mc Andrew,Female,97,12/1/1981,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.5,0.5,0.625,0.53125,54,54,1.38125
Lavena,Seekings,Female,87,3/25/1995,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,0.81,0.81,1.0125,0.860625,54,54,1.38125
Martelle,Tuppeny,Female,52,2/3/1981,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,0.65,0.65,0.8125,0.690625,54,54,1.38125
Briant,Ladley,Male,75,12/17/1979,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,0.55,0.55,0.55,0.4675,57,57,1.375
Marylou,Kirkup,Female,51,10/31/1972,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,0.92,0.92,1.15,0.9775,57,57,1.375
Whittaker,,Male,64,7/29/1966,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,0.42,0.525,0.525,0.44625,57,57,1.375
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,0.82,0.82,0.82,0.697,57,57,1.375
Lorrie,Antonelli,Male,47,2/11/1983,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,0.95,1.1875,1.1875,1.1875,57,57,1.375
Jedediah,Kedie,Male,31,12/29/1971,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,0.76,0.95,1.1875,1.009375,62,62,1.36796875
Kaine,Smallcombe,Male,59,2/6/1942,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,0.52,0.52,0.65,0.65,62,62,1.36796875
Loise,Iltchev,Female,70,3/18/1967,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,0.79,0.9875,0.9875,0.9875,62,62,1.36796875
Cristen,Maroney,Female,22,11/21/1999,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,0.51,0.6375,0.6375,0.6375,65,65,1.3625
Dorothy,Barnardo,Female,58,2/1/1983,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,0.72,0.72,0.72,0.72,65,65,1.3625
Rosmunda,Duxbarry,Female,69,7/20/1996,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,0.67,0.8375,1.046875,1.046875,65,65,1.3625
Rozamond,Riha,Female,54,10/7/1984,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,0.54,0.675,0.675,0.675,68,68,1.3546875
Gunner,Petti,Male,62,6/8/1999,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,0.44,0.55,0.55,0.55,68,68,1.3546875
Vivienne,Crayden,Female,82,9/18/1988,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,0.4,0.5,0.625,0.625,68,68,1.3546875
Sherilyn,Canero,Female,11,8/3/1996,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,0.42,0.525,0.525,0.525,68,68,1.3546875
Bessie,Roscow,Female,78,8/4/1994,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,0.56,0.56,0.7,0.595,72,72,1.35
Kevina,Ferandez,Female,73,9/21/1999,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,0.82,0.82,1.025,1.025,72,72,1.35
Yancy,Clementet,Male,5,2/16/1968,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,0.97,0.97,1.2125,1.2125,72,72,1.35
Mabelle,Wellbelove,Female,76,4/21/1958,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,0.99,1.2375,1.546875,1.546875,72,72,1.35
Hasheem,Groucock,Male,98,9/17/1974,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,0.65,0.8125,1.015625,1.015625,72,72,1.35
Tobias,Woodhams,Male,0,4/15/1961,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,1.03,1.03,1.2875,1.094375,77,77,1.34140625
Glennis,Flintoff,Female,36,10/22/1956,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,0.87,1.0875,1.0875,1.0875,78,78,1.3375
Chanda,Mensler,Female,15,1/14/1972,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,0.44,0.55,0.6875,0.584375,78,78,1.3375
Katheryn,Kinner,Female,15,11/28/1973,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,1.07,1.07,1.07,1.07,78,78,1.3375
Sumner,Carrivick,Male,53,4/9/1995,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,0.83,0.83,1.0375,0.881875,78,78,1.3375
Valerie,Pickover,Female,34,9/8/1965,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,0.72,0.72,0.72,0.612,78,78,1.3375
Esther,Rooson,Female,14,2/22/1981,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.91,0.91,1.1375,0.966875,78,78,1.3375
Gardie,Crellim,Male,58,9/12/1975,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,0.79,0.79,0.9875,0.9875,84,84,1.328125
Sean,O'Loughlin,Male,48,3/22/1961,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,0.88,1.1,1.375,1.375,85,85,1.325
Pietra,Buckleigh,Female,9,4/29/1949,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,1.03,1.03,1.2875,1.2875,85,85,1.325
Marysa,Rouchy,Female,8,2/15/1999,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,0.81,0.81,1.0125,1.0125,85,85,1.325
Kahaleel,,Male,5,11/1/1942,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,0.84,0.84,1.05,1.05,88,88,1.31484375
Ossie,Midden,Male,49,2/10/1950,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,0.96,1.2,1.5,1.275,89,89,1.3125
Sid,Carlone,Male,24,8/18/1971,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,0.7,0.7,0.7,0.7,89,89,1.3125
Ludovico,Juster,Male,93,4/19/1992,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,0.93,0.93,1.1625,1.1625,89,89,1.3125
Patricia,Everix,Female,34,2/19/1978,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,0.65,0.65,0.65,0.5525,89,89,1.3125
Andromache,Bonafacino,Female,84,9/1/1977,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,0.43,0.43,0.5375,0.456875,89,89,1.3125
Levy,Abramamov,Male,94,9/21/1952,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,0.63,0.7875,0.984375,0.984375,89,89,1.3125
Nobe,McAughtry,Male,25,12/14/1978,,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,1.01,1.01,1.01,0.8585,89,89,1.3125
Jehu,Prestedge,Male,91,10/20/1999,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.95,1.1875,1.484375,1.484375,96,96,1.3
Symon,Mawne,Male,18,2/8/1943,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,0.59,0.7375,0.7375,0.626875,96,96,1.3
Karlik,Penchen,Male,60,10/31/1994,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,0.97,0.97,0.97,0.8245,96,96,1.3
Bengt,Bilson,Male,26,11/2/1972,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,0.84,0.84,1.05,1.05,99,99,1.296875
Evangelin,Boc,Female,30,5/9/2000,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,0.95,1.1875,1.1875,1.1875,99,99,1.296875
Hanny,Treven,Female,84,1/22/1991,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,0.7,0.7,0.875,0.74375,99,99,1.296875
Gina,Mallon,Female,56,2/11/1994,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,0.71,0.71,0.71,0.6035,102,102,1.28828125
Reynold,Elman,Male,19,1/18/1940,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,0.58,0.58,0.58,0.493,102,102,1.28828125
Flossy,Concannon,Female,64,10/20/1980,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,1.02,1.02,1.02,1.02,104,104,1.2875
Cristen,Wiltshire,Female,59,10/20/1961,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,0.83,1.0375,1.0375,1.0375,104,104,1.2875
Griffith,Escot,Male,50,10/23/1946,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,0.58,0.725,0.725,0.61625,104,104,1.2875
Jamie,Jiruca,Female,21,6/16/1963,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,0.92,0.92,1.15,0.9775,104,104,1.2875
Lyon,Brittan,Male,14,4/23/1972,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,0.69,0.69,0.69,0.69,104,104,1.2875
Aridatha,Sephton,Female,95,10/22/1961,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,0.82,0.82,1.025,0.87125,104,104,1.2875
Michal,Bryan,Female,1,11/9/1969,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,1.09,1.3625,1.3625,1.158125,104,104,1.2875
Franciska,Stigell,Female,95,11/15/1968,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,0.46,0.575,0.71875,0.6109375,111,111,1.28125
Jordan,Clampe,Male,37,12/9/1939,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,0.48,0.6,0.6,0.51,111,111,1.28125
David,Napoleon,Male,72,11/5/1961,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,0.8,0.8,1,1,111,111,1.28125
Meriel,Tapp,Female,0,8/13/1995,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,1.09,1.09,1.09,0.9265,114,114,1.275
Dolley,Starmont,Female,53,11/8/1977,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,0.58,0.58,0.58,0.58,114,114,1.275
Frederik,Milan,Male,45,11/13/1997,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.57,0.57,0.57,0.4845,114,114,1.275
Rollo,Louedey,Male,64,7/9/1946,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,0.5,0.625,0.78125,0.78125,114,114,1.275
Jerrine,Cosbey,Female,21,1/11/1978,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,0.4,0.5,0.625,0.625,114,114,1.275
Roddy,Rubinshtein,Male,37,10/8/1987,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,0.65,0.8125,0.8125,0.690625,114,114,1.275
Viki,Coutts,Female,2,12/14/1952,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,0.42,0.525,0.525,0.44625,120,120,1.2625
Ashby,Bispham,Male,71,10/29/1981,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,0.96,0.96,0.96,0.96,120,120,1.2625
Alexander,Broadbent,Male,57,5/28/1997,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,0.88,0.88,1.1,0.935,120,120,1.2625
Teddy,Lagadu,Female,86,7/20/1969,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,0.4,0.4,0.5,0.5,120,120,1.2625
Peria,Rantoull,Female,3,3/13/1975,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,1,1,1,0.85,120,120,1.2625
Ludvig,Andren,Male,44,2/22/1941,Media Manager III,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,0.56,0.7,0.7,0.7,125,125,1.26171875
Elsworth,Abbitt,Male,71,2/8/1956,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,0.82,1.025,1.025,0.87125,125,125,1.26171875
Rebeca,Aggas,Female,66,2/27/1953,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,0.97,0.97,0.97,0.97,127,127,1.25
Ricki,Dobrowski,Male,13,3/10/1975,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,0.74,0.925,0.925,0.78625,127,127,1.25
Georgetta,Lovett,Female,42,2/2/1940,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,0.5,0.5,0.5,0.425,127,127,1.25
Bambi,Cogger,Female,51,7/12/1990,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,1.04,1.3,1.3,1.3,127,127,1.25
Aurie,Rhead,Female,78,7/28/1962,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,0.95,1.1875,1.1875,1.1875,127,127,1.25
Farris,Skettles,Male,38,7/3/1965,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,0.85,1.0625,1.0625,0.903125,132,132,1.2484375
Sharline,Abyss,Female,11,3/18/1960,,,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,0.4,0.5,0.5,0.425,133,133,1.2375
Nowell,Preddy,Male,29,7/23/1985,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,0.69,0.69,0.8625,0.733125,133,133,1.2375
Lacy,Drance,Female,27,2/5/1978,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,1.1,1.375,1.375,1.375,133,133,1.2375
Padraig,Snel,Male,89,11/8/1970,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,0.83,0.83,1.0375,0.881875,133,133,1.2375
Malorie,Votier,Female,90,5/29/1990,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,0.48,0.48,0.6,0.6,133,133,1.2375
Shepperd,Ricards,Male,28,9/27/1967,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,1.02,1.275,1.275,1.08375,133,133,1.2375
Daryl,Pauncefort,Female,12,6/18/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,0.72,0.9,0.9,0.765,133,133,1.2375
Norina,Blakeway,Female,60,2/11/1980,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,0.87,1.0875,1.0875,0.924375,133,133,1.2375
