,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Total_Price,address,postcode,state,country,property_valuation
49,67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,41.0,1501.36,4763 Merchant Avenue,2756.0,New South Wales,Australia,8.0
50,69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Wendel,Headland,Male,70.0,1987-04-17,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0,33.0,27224.4,84504 Doe Crossing Road,2441.0,NSW,Australia,4.0
51,71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Chrissie,Bernardini,Female,34.0,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,39.0,456.96,7526 Artisan Parkway,4223.0,QLD,Australia,8.0
52,72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Portia,Thirlwall,Female,96.0,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0,41.0,10440.960000000001,1172 Mesta Center,4740.0,QLD,Australia,2.0
53,75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Woody,Dowthwaite,Male,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,50.0,1272.6000000000001,5 Springview Terrace,3620.0,VIC,Australia,4.0
54,77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Benita,Cuffley,Female,95.0,1987-11-05,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0,32.0,12532.4,08 Vidon Center,2143.0,NSW,Australia,5.0
55,78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,Cassius,Birchenough,Male,33.0,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,35.0,30816.72,44083 Village Court,2142.0,NSW,Australia,7.0
56,79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,Langsdon,Tranfield,Male,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,63.0,36077.4,55850 Butterfield Road,2168.0,New South Wales,Australia,9.0
57,81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Mitchel,Schimek,Male,89.0,1963-04-18,Clinical Specialist,Health,High Net Worth,N,No,13.0,57.0,52926.52,4 Vahlen Junction,2227.0,NSW,Australia,10.0
58,84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Addy,Moukes,Male,39.0,1975-04-26,Product Engineer,Manufacturing,Mass Customer,N,No,13.0,45.0,45520.020000000004,50 Declaration Junction,3213.0,VIC,Australia,6.0
59,86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,Charlena,Muzzi,Female,26.0,1967-07-18,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0,52.0,24825.32,7939 Toban Crossing,2770.0,NSW,Australia,7.0
60,88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,Christyna,Feldberg,Female,74.0,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,20.0,15196.640000000001,02701 Talmadge Junction,3082.0,VIC,Australia,7.0
61,89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,Annamarie,Bouzan,Female,54.0,1987-11-01,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0,32.0,389.34,446 Warrior Pass,4740.0,QLD,Australia,5.0
62,91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,Madelaine,Siegertsz,Female,40.0,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0,42.0,24592.0,82 Hanover Avenue,2101.0,NSW,Australia,10.0
63,92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,Frances,Mishaw,Female,48.0,1959-05-23,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0,61.0,15992.64,0 Hayes Hill,2106.0,NSW,Australia,11.0
64,93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,Catherina,Ricca,Female,56.0,1967-10-01,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,52.0,65362.08,176 Sutteridge Alley,3121.0,VIC,Australia,11.0
65,94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Laraine,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,66.0,11631.51,060 Morning Avenue,2016.0,New South Wales,Australia,10.0
66,95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,Kinsley,Klimus,Male,91.0,1977-05-13,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,43.0,7734.089999999999,195 Knutson Place,4019.0,QLD,Australia,8.0
67,99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,Marion,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,25.0,8983.31,2951 Petterle Place,2756.0,New South Wales,Australia,9.0
68,102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,Lyn,Luquet,Male,93.0,1978-12-27,Health Coach IV,Health,Affluent Customer,N,Yes,12.0,41.0,63005.64,22774 Pennsylvania Hill,2262.0,NSW,Australia,6.0
69,103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Gregg,Townsend,Male,62.0,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0,56.0,72365.16,00 Mockingbird Junction,2141.0,NSW,Australia,9.0
70,104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Adaline,Hayles,Female,37.0,1978-01-10,Financial Advisor,Financial Services,Mass Customer,N,No,22.0,42.0,26250.760000000002,45725 Hagan Pass,2519.0,NSW,Australia,9.0
71,105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434.0,Gregoor,Aronovitz,Male,41.0,1981-07-24,Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0,38.0,2367.34,59000 American Center,2530.0,NSW,Australia,8.0
72,106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Emma,Mates,Female,42.0,1976-06-12,Speech Pathologist,Retail,Mass Customer,N,No,15.0,44.0,12492.06,9 Spaight Place,2102.0,NSW,Australia,9.0
73,108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Hyacinth,Naldrett,Female,43.0,1986-03-10,Pharmacist,Health,Mass Customer,N,No,10.0,34.0,32793.09,9 Clyde Gallagher Plaza,3021.0,VIC,Australia,7.0
74,110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,Siegfried,Trattles,Male,33.0,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,20.0,16750.14,44 Ramsey Road,2515.0,NSW,Australia,9.0
75,111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Anabella,Mealham,Female,16.0,1994-06-02,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6.0,26.0,910.88,88 Michigan Junction,3109.0,VIC,Australia,10.0
76,112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Maddy,Larrat,Female,1.0,1992-02-10,Staff Accountant III,Health,High Net Worth,N,No,7.0,28.0,594.68,2570 Wayridge Park,2093.0,NSW,Australia,9.0
77,113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364.0,Leontyne,Jackett,Female,78.0,1974-11-11,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17.0,45.0,16772.34,85 Carioca Drive,2154.0,NSW,Australia,11.0
78,114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0,Mile,Dionisii,Male,97.0,1991-11-02,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5.0,28.0,83803.15000000001,6 Mariners Cove Center,2233.0,NSW,Australia,10.0
79,115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482.0,Krishnah,Firmage,Male,55.0,1996-11-19,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0,23.0,28261.75,6238 Hanover Crossing,3141.0,VIC,Australia,7.0
80,117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,34071.0,Carter,Kaesmakers,Male,66.0,1992-07-28,Sales Representative,Retail,Mass Customer,N,Yes,7.0,27.0,106319.40000000001,018 Erie Point,2767.0,NSW,Australia,9.0
81,119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0,Fonz,Jankin,Male,4.0,1976-09-14,Operator,Manufacturing,Mass Customer,N,Yes,14.0,43.0,2386.2,54 Veith Drive,2073.0,NSW,Australia,12.0
82,120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Ambur,Symcoxe,Female,57.0,1995-08-31,Accounting Assistant II,IT,High Net Worth,N,No,2.0,24.0,16953.510000000002,96910 Sugar Point,4352.0,QLD,Australia,7.0
83,121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,Whitby,Schapero,Male,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,39.0,31526.7,957 Veith Junction,2047.0,New South Wales,Australia,10.0
84,124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Mariam,Guiel,Female,82.0,1978-12-09,Editor,IT,High Net Worth,N,No,14.0,41.0,8329.56,8766 Onsgard Plaza,3805.0,VIC,Australia,8.0
85,127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482.0,Devlin,Laneham,Male,80.0,1967-07-16,Budget/Accounting Analyst I,Health,Affluent Customer,N,Yes,10.0,52.0,17211.199999999997,62 Doe Crossing Junction,2760.0,NSW,Australia,7.0
86,128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Laryssa,Durdle,Female,73.0,1969-04-06,Registered Nurse,Health,Mass Customer,N,No,5.0,51.0,60564.45,7 Main Crossing,2065.0,NSW,Australia,12.0
87,129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295.0,Dimitri,Durie,Male,29.0,1979-01-21,Legal Assistant,Manufacturing,Mass Customer,N,Yes,14.0,41.0,3825.68,79206 Independence Drive,3061.0,VIC,Australia,5.0
88,130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Crosby,Ruoff,Male,16.0,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,No,2.0,20.0,1740.16,654 Kim Parkway,3175.0,VIC,Australia,3.0
89,131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Karalee,Tremlett,Female,41.0,1977-10-25,Technical Writer,Financial Services,Affluent Customer,N,No,12.0,42.0,42794.57,544 Northland Place,2190.0,NSW,Australia,10.0
90,132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Renaud,Gahagan,Male,69.0,1974-01-08,Quality Engineer,Health,Mass Customer,N,No,19.0,46.0,11150.4,698 Old Gate Lane,2619.0,NSW,Australia,3.0
91,133,93,1282,2017-09-02,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539.0,Garald,Pidler,Male,99.0,1980-11-15,Programmer Analyst III,Entertainment,Affluent Customer,N,Yes,14.0,39.0,22778.91,791 Elgar Trail,4340.0,QLD,Australia,5.0
92,134,78,2183,2017-05-09,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429.0,Jillie,Fyndon,Female,61.0,1972-02-07,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0,48.0,43278.28,8142 Tomscot Drive,4132.0,QLD,Australia,4.0
93,135,84,1788,2017-10-17,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859.0,Anna-diana,Kurten,Female,79.0,1964-08-10,Account Representative IV,Financial Services,High Net Worth,N,Yes,10.0,55.0,46979.719999999994,67 Hooker Place,2380.0,NSW,Australia,5.0
