,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
28,29,72,3368,10/13/2017,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Tanya,Boddis,Female,7.0,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,52.0
29,30,91,1173,3/15/2017,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Gertie,Chaim,Female,58.0,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,42.0
31,32,1,3214,2/18/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Cindelyn,Balas,Female,2.0,1993-01-21,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0,27.0
33,34,99,2003,2/28/2017,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Lilli,Hargey,Female,80.0,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,58.0
34,35,0,2171,8/20/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Laryssa,Maes,Female,21.0,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0,50.0
35,36,92,3356,7/7/2017,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,Dill,Bampford,Male,47.0,1959-03-23,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0,61.0
36,37,14,1040,1/9/2017,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Jacenta,Wedlock,Female,78.0,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,45.0
37,38,2,2916,12/6/2017,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,Lauren,Adolfson,Male,23.0,1969-08-03,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0,50.0
38,39,12,427,9/12/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,Giusto,Torbett,Male,77.0,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0,23.0
39,40,0,2448,11/28/2017,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Lorri,Iston,Female,5.0,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,27.0
40,41,44,2570,5/8/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,Hirsch,Peele,Male,13.0,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0,42.0
42,43,76,488,3/17/2017,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Domini,Ghelerdini,Female,24.0,1980-07-11,Help Desk Operator,Property,Mass Customer,N,Yes,10.0,39.0
43,44,46,165,12/22/2017,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,36.0
47,48,81,1305,6/10/2017,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50.0
48,49,86,1251,6/17/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Codie,Arnecke,Male,63.0,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0,22.0
49,50,32,3103,5/10/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Shaylah,Hatchell,Female,5.0,1953-10-21,Safety Technician II,Retail,Mass Customer,N,No,20.0,66.0
50,51,77,3108,3/24/2017,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Trip,Ahmed,Male,94.0,1967-10-01,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0,52.0
53,54,27,2549,2/9/2017,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,Mike,Geggus,Male,12.0,1998-08-07,Pharmacist,Health,Mass Customer,N,Yes,4.0,21.0
54,55,0,3140,9/18/2017,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Britt,Muddimer,Female,2.0,1985-06-11,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0,35.0
55,56,47,3406,11/14/2017,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,Lucy,Lackmann,Female,35.0,1979-04-28,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0,41.0
56,57,94,2294,8/30/2017,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Skipton,Cordie,Male,25.0,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,33.0
57,58,91,1031,11/14/2017,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,Roi,Ogden,Male,75.0,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,36.0
58,59,93,993,2/15/2017,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Reine,Semken,Female,71.0,1977-02-18,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,43.0
60,61,0,1839,2/24/2017,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Faythe,Rance,Female,60.0,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,33.0
61,62,33,1824,12/18/2017,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Robbie,Yakubovics,Female,12.0,1959-10-12,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0,60.0
65,66,86,3315,2/23/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,Ninnette,Pandey,Female,77.0,1994-09-08,Account Executive,Property,Mass Customer,N,Yes,5.0,25.0
66,67,2,75,7/3/2017,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,41.0
68,69,38,1612,10/21/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Wendel,Headland,Male,70.0,1987-04-17,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0,33.0
70,71,54,419,1/3/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Chrissie,Bernardini,Female,34.0,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,39.0
71,72,77,3307,5/9/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Portia,Thirlwall,Female,96.0,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0,41.0
74,75,58,1346,6/20/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Woody,Dowthwaite,Male,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,50.0
76,77,50,763,6/2/2017,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Benita,Cuffley,Female,95.0,1987-11-05,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0,32.0
77,78,80,2397,11/7/2017,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,Cassius,Birchenough,Male,33.0,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,35.0
78,79,87,102,9/12/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,Langsdon,Tranfield,Male,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,63.0
80,81,84,759,10/7/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Mitchel,Schimek,Male,89.0,1963-04-18,Clinical Specialist,Health,High Net Worth,N,No,13.0,57.0
83,84,33,3297,11/2/2017,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Addy,Moukes,Male,39.0,1975-04-26,Product Engineer,Manufacturing,Mass Customer,N,No,13.0,45.0
85,86,1,1861,7/19/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,Charlena,Muzzi,Female,26.0,1967-07-18,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0,52.0
87,88,31,1390,8/6/2017,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,Christyna,Feldberg,Female,74.0,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,20.0
88,89,0,2682,4/4/2017,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,Annamarie,Bouzan,Female,54.0,1987-11-01,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0,32.0
90,91,17,1579,4/15/2017,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,Madelaine,Siegertsz,Female,40.0,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0,42.0
91,92,73,2984,7/25/2017,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,Frances,Mishaw,Female,48.0,1959-05-23,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0,61.0
92,93,33,3470,11/28/2017,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,Catherina,Ricca,Female,56.0,1967-10-01,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,52.0
93,94,86,1,12/23/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Laraine,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,66.0
94,95,45,757,2/26/2017,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,Kinsley,Klimus,Male,91.0,1977-05-13,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,43.0
97,99,95,32,3/26/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,Marion,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,25.0
100,102,4,2353,4/14/2017,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,Lyn,Luquet,Male,93.0,1978-12-27,Health Coach IV,Health,Affluent Customer,N,Yes,12.0,41.0
101,103,33,788,11/12/2017,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Gregg,Townsend,Male,62.0,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0,56.0
102,104,78,1468,9/12/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Adaline,Hayles,Female,37.0,1978-01-10,Financial Advisor,Financial Services,Mass Customer,N,No,22.0,42.0
103,105,89,821,10/26/2017,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434.0,Gregoor,Aronovitz,Male,41.0,1981-07-24,Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0,38.0
104,106,70,2489,2/15/2017,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Emma,Mates,Female,42.0,1976-06-12,Speech Pathologist,Retail,Mass Customer,N,No,15.0,44.0
106,108,26,947,10/11/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Hyacinth,Naldrett,Female,43.0,1986-03-10,Pharmacist,Health,Mass Customer,N,No,10.0,34.0
108,110,36,1076,11/4/2017,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,Siegfried,Trattles,Male,33.0,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,20.0
109,111,0,3320,6/11/2017,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Anabella,Mealham,Female,16.0,1994-06-02,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6.0,26.0
110,112,84,779,10/9/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Maddy,Larrat,Female,1.0,1992-02-10,Staff Accountant III,Health,High Net Worth,N,No,7.0,28.0
111,113,98,3296,6/7/2017,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364.0,Leontyne,Jackett,Female,78.0,1974-11-11,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17.0,45.0
112,114,75,455,10/24/2017,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0,Mile,Dionisii,Male,97.0,1991-11-02,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5.0,28.0
113,115,76,1779,5/1/2017,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482.0,Krishnah,Firmage,Male,55.0,1996-11-19,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0,23.0
115,117,42,806,3/24/2017,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,34071.0,Carter,Kaesmakers,Male,66.0,1992-07-28,Sales Representative,Retail,Mass Customer,N,Yes,7.0,27.0
117,119,64,1591,2/20/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0,Fonz,Jankin,Male,4.0,1976-09-14,Operator,Manufacturing,Mass Customer,N,Yes,14.0,43.0
118,120,0,678,6/16/2017,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Ambur,Symcoxe,Female,57.0,1995-08-31,Accounting Assistant II,IT,High Net Worth,N,No,2.0,24.0
119,121,25,50,12/4/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,Whitby,Schapero,Male,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,39.0
122,124,98,1339,3/21/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Mariam,Guiel,Female,82.0,1978-12-09,Editor,IT,High Net Worth,N,No,14.0,41.0
125,127,84,2503,3/16/2017,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482.0,Devlin,Laneham,Male,80.0,1967-07-16,Budget/Accounting Analyst I,Health,Affluent Customer,N,Yes,10.0,52.0
126,128,25,1057,2/26/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Laryssa,Durdle,Female,73.0,1969-04-06,Registered Nurse,Health,Mass Customer,N,No,5.0,51.0
127,129,50,1397,6/5/2017,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295.0,Dimitri,Durie,Male,29.0,1979-01-21,Legal Assistant,Manufacturing,Mass Customer,N,Yes,14.0,41.0
128,130,44,2134,9/4/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Crosby,Ruoff,Male,16.0,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,No,2.0,20.0
129,131,96,2403,1/18/2017,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Karalee,Tremlett,Female,41.0,1977-10-25,Technical Writer,Financial Services,Affluent Customer,N,No,12.0,42.0
130,132,12,1937,9/28/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Renaud,Gahagan,Male,69.0,1974-01-08,Quality Engineer,Health,Mass Customer,N,No,19.0,46.0
131,133,93,1282,9/2/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539.0,Garald,Pidler,Male,99.0,1980-11-15,Programmer Analyst III,Entertainment,Affluent Customer,N,Yes,14.0,39.0
132,134,78,2183,5/9/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429.0,Jillie,Fyndon,Female,61.0,1972-02-07,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0,48.0
133,135,84,1788,10/17/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859.0,Anna-diana,Kurten,Female,79.0,1964-08-10,Account Representative IV,Financial Services,High Net Worth,N,Yes,10.0,55.0
134,136,65,1170,4/25/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42105.0,Lari,Rotte,Female,62.0,1964-11-30,Assistant Professor,IT,Mass Customer,N,Yes,4.0,55.0
135,138,29,1940,8/2/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,Gabriellia,Coulter,Female,52.0,1977-03-02,Teacher,Manufacturing,High Net Worth,N,Yes,8.0,43.0
138,141,10,2728,12/22/2017,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Imojean,Atyeo,Female,55.0,1959-03-26,Physical Therapy Assistant,IT,High Net Worth,N,No,19.0,61.0
141,144,92,1217,12/20/2017,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Dulcinea,Janssen,Female,67.0,1968-08-19,Structural Engineer,Manufacturing,High Net Worth,N,No,16.0,51.0
142,145,7,2992,6/7/2017,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693.0,Crystal,Assur,Female,26.0,1974-05-31,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,46.0
144,147,67,2748,4/25/2017,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Dolorita,Dufaur,Female,96.0,1967-08-29,Quality Engineer,Financial Services,Mass Customer,N,No,4.0,52.0
145,148,14,3262,1/13/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60.0
146,149,89,788,3/21/2017,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Gregg,Townsend,Male,62.0,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0,56.0
147,150,9,3067,11/21/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586.0,Veronique,Wash,Female,8.0,1991-01-13,Chief Design Engineer,Manufacturing,Mass Customer,N,Yes,9.0,29.0
148,151,31,701,11/11/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37698.0,Ransell,Ruler,Male,18.0,1956-05-01,Food Chemist,Health,Mass Customer,N,Yes,8.0,64.0
149,152,92,648,10/16/2017,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833.0,Gardiner,Nutley,Male,86.0,1978-06-04,Accountant II,Financial Services,Mass Customer,N,Yes,9.0,42.0
150,153,37,3286,8/19/2017,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Kent,Hatter,Male,23.0,1961-06-02,Assistant Media Planner,Entertainment,Mass Customer,N,No,20.0,59.0
151,154,3,3383,4/6/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784.0,Dane,Swansbury,Male,47.0,1982-04-05,Financial Analyst,Financial Services,Affluent Customer,N,Yes,10.0,38.0
152,155,56,982,11/4/2017,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404.0,Tibold,Bonwell,Male,14.0,1960-02-12,Geologist III,Health,High Net Worth,N,Yes,6.0,60.0
154,157,6,385,9/15/2017,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,42105.0,Kendall,Humes,Male,69.0,1966-12-07,Project Manager,Health,High Net Worth,N,No,9.0,53.0
155,158,50,1229,3/1/2017,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,39915.0,Sebastian,Trass,Male,38.0,2000-01-08,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1.0,20.0
156,159,10,3232,8/16/2017,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345.0,Rose,Milsom,Female,7.0,1993-10-10,Payment Adjustment Coordinator,Financial Services,Mass Customer,N,Yes,9.0,26.0
157,161,69,2381,7/10/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42105.0,Dulsea,Pladen,Female,91.0,1973-02-12,Programmer I,Argiculture,Affluent Customer,N,Yes,5.0,47.0
158,162,78,371,12/11/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Pernell,Favelle,Male,7.0,1954-07-06,Systems Administrator III,Financial Services,Mass Customer,N,No,7.0,65.0
159,163,80,2519,5/20/2017,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226.0,Ryon,Dalliston,Male,76.0,1979-10-17,Senior Developer,Manufacturing,Mass Customer,N,Yes,5.0,40.0
160,164,17,2264,7/30/2017,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Tony,Shirley,Female,18.0,1972-07-17,Occupational Therapist,Health,Affluent Customer,N,No,9.0,47.0
161,165,3,2637,10/25/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38573.0,Marcile,Christley,Female,28.0,1972-07-30,Help Desk Operator,Retail,Mass Customer,N,Yes,11.0,47.0
162,166,78,3262,11/27/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60.0
164,169,97,456,5/2/2017,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,38002.0,Randolph,Redihalgh,Male,47.0,1975-11-30,Automation Specialist I,Manufacturing,Affluent Customer,N,Yes,17.0,44.0
165,171,100,3121,10/22/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Mahmoud,Batterbee,Male,82.0,1959-05-11,Data Coordiator,Manufacturing,Mass Customer,N,No,19.0,61.0
166,172,55,2365,4/11/2017,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,Lauretta,Furmonger,Female,2.0,1998-10-18,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3.0,21.0
167,173,100,2528,11/16/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Cassie,Toffaloni,Male,81.0,1978-09-23,Senior Editor,Financial Services,Affluent Customer,N,No,15.0,41.0
169,175,25,3241,12/23/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42696.0,Milt,Erett,Male,34.0,1979-10-29,Budget/Accounting Analyst IV,Manufacturing,Mass Customer,N,Yes,16.0,40.0
